neuer_name,pfad_im_spiel,beschreibung,original_datei
01_wasserwerk-luftaufnahme-nacht.webp,/images/events/01_wasserwerk-luftaufnahme-nacht.webp,"A top-down bird's-eye vector illustration of a rain-soaked German municipal waterworks compound at night, with a small office building at center casting a phosphor-green glow onto wet asphalt, framed by water tanks, power lines, and neighboring rooftops.",0001_4_high-level-description-a-top-down-bird-s_OfqdPo7xUAy5LLkXg8aNbw_vamdj91PTH6Uec0NqTQpYA.png
02_it-admin-leitwarte-nacht.webp,/images/events/02_it-admin-leitwarte-nacht.webp,"A dark noir editorial vector illustration of a lone IT admin silhouetted from behind at a console in a German municipal water-tower control room, facing a wall of phosphor-green glowing terminals on a rainy night, with giant industrial pipes rising into darkness above.",0002_4_high-level-description-a-dark-noir-edito_bKRLw2X9WKmA___rivcIMg_HtzeASYXSyW1rTI6vqEULQ.png
03_audit-besprechung-nacht.webp,/images/events/03_audit-besprechung-nacht.webp,"A dark noir editorial vector illustration of a tense late-night audit meeting in a German municipal utility office conference room, with an auditor at the head of a binder-stacked table, two IT staff hunched in shadow, and a diagonal projector beam cutting through the room.",0003_1_high-level-description-a-dark-noir-edito_w5Zbrf15U6SPca8pqL4aRg_XZPqKBP6Q3W8yHXcbgvFhQ_cover.png
04_serverraum-serverschrank.webp,/images/events/04_serverraum-serverschrank.webp,"A dark noir editorial vector illustration of a tense late-night moment inside a German municipal utility office server room, with a tall black server rack glowing sickly phosphor-green, abandoned tools on the polished concrete floor, and pale warm light spilling through an open doorway.",0004_4_high-level-description-a-dark-noir-edito_0kpfjs17ULuzT1EtHrPuXg_iNoOhDvYRHaV3ABJg_txyw.png
05_verdaechtige-email-am-monitor.webp,/images/events/05_verdaechtige-email-am-monitor.webp,"A dark noir editorial vector illustration of a German municipal utility office worker at a late-night desk, frozen with hand hovering over the mouse as a suspicious email glows phosphor-green on the monitor, rendered in flat shapes with hard-edged shadows and a near-monochrome palette accented by green screen glow and warm amber corridor light.",0005_2_high-level-description-a-dark-noir-edito_lGOjl1ksXraLDR_yGjic2w_phLINJUkTr2W3XsEz67Jew.png
06_leitwarte-monitore-ausfall.webp,/images/events/06_leitwarte-monitore-ausfall.webp,"A dark noir editorial vector illustration of a German municipal utility control room at night, with a silhouetted operator rising from the central console as a wall of twelve monitors goes dark one by one, lit by a single red emergency lamp and phosphor-green screen glow.",0006_3_high-level-description-a-dark-noir-edito_eVujb5VWW5WzgO3bFh_8DQ_ja7CAZMbTcSxIpb8cUbjsw.png
07_verlassenes-buero-server-led.webp,/images/events/07_verlassenes-buero-server-led.webp,"A dark noir editorial vector illustration of an abandoned German municipal utility office at the end of a long day, with a single green LED blinking on a server rack in the dark, rendered in flat shapes with hard-edged shadows and a near-monochrome palette accented by phosphor-green and pale warm light.",0007_4_high-level-description-a-dark-noir-edito_3mYzbOHIVJCu-mTTc6hNzw_sLAi8MbNSA23hcTHQHUC8A.png
08_admin-schliesst-ab-nacht.webp,/images/events/08_admin-schliesst-ab-nacht.webp,"A dark noir editorial vector illustration of a middle-aged German municipal utility administrator locking up at the end of the night, framed by an open steel door against a shadowed corridor, with phosphor-green monitor glow and warm sodium light through venetian blinds as the only accents.",0008_1_high-level-description-a-dark-noir-edito_I4r5OFv4WTmqVOjw3OZkCw_o-qlqfrgRuSsHliK2q2Daw_cover.png
09_sachbearbeiter-sonnenaufgang.webp,/images/events/09_sachbearbeiter-sonnenaufgang.webp,"A dark noir editorial vector illustration of a middle-aged German municipal utility clerk slouched in his office chair at sunrise, lit by warm horizontal blinds-bars and the phosphor-green glow of dual monitors, with an empty neighboring desk cropping in from the lower-left.",0009_3_high-level-description-a-dark-noir-edito_XE8i-SkgXueSX0RCPhos_g_srQN-aOzQO-1GHmd_e2_Xw.png
10_figur-zwischen-tueren-flur.webp,/images/events/10_figur-zwischen-tueren-flur.webp,"A dark noir editorial vector illustration of a lone figure in an overcoat and flat cap standing dead center between two lit doorways in a German municipal utility office corridor, warm amber light spilling from the left and cold phosphor-green from the right, with a rainy window at the vanishing point.",0010_2_high-level-description-a-dark-noir-edito_UdsRzt6_VoyspCjh2Pw6BA_Qmui4y7jRqi2gTr9BdkvHA.png
11_usb-uebergabe-treppenhaus.webp,/images/events/11_usb-uebergabe-treppenhaus.webp,"A dark noir editorial vector illustration of a tense midnight exchange in a concrete stairwell, two hooded figures passing a USB stick under the cold green glow of an emergency exit sign, rendered in flat shapes with hard-edged shadows and a near-monochrome palette.",0011_1_high-level-description-a-dark-noir-edito_Y5OE8WKCX7qjTeGRP5GITA_mWAidIuxQaSA4WeUNByesQ_cover.png
12_schock-am-crt-terminal.webp,/images/events/12_schock-am-crt-terminal.webp,"A dark noir editorial vector illustration of a tense late-night moment inside a German municipal utility office, where a clerk's half-cropped face at the right edge reacts in shock to a CRT terminal glowing phosphor-green on the cluttered desk, with rain-streaked venetian blinds and a dim corridor doorway behind.",0012_4_high-level-description-a-dark-noir-edito_OjPnhP-9W8a6oUY3VCNXCw_j8BDc6q6RvWwtPM4Zf_DMQ.png
13_handschriftliche-notiz-am-monitor.webp,/images/events/13_handschriftliche-notiz-am-monitor.webp,"A dark noir editorial vector illustration of a tense late-night moment inside a German municipal utility office, where a single pale hand holds a handwritten note up to the cold phosphor-green glow of a CRT monitor, with looming black shelves behind and warm corridor light spilling through an open doorway.",0013_2_high-level-description-a-dark-noir-edito_w3KAcdbDUVaJ5ZIcGztQBg_4-vXM7pZRciNf5MV8bKx_g.png
14_passwort-notiz-und-ausweis.webp,/images/events/14_passwort-notiz-und-ausweis.webp,"A flat vector noir editorial illustration of a late-night German municipal utility office desk, with an abandoned employee badge and password sticky note resting on a mechanical keyboard in a pool of phosphor-green monitor light, framed by a rain-streaked window and a warm-lit doorway.",0014_1_high-level-description-a-flat-vector-noi__e5Gzt7GWqKztVnkr_2cjA_H2-7FKBFT9Cl4S0TE244rg_cover.png
15_vendor-lobby-empfang.webp,/images/events/15_vendor-lobby-empfang.webp,"A flat vector illustration of a slick German municipal utility vendor office lobby on a rainy evening, with a lone figure in a dark coat standing near a reception desk facing a glowing green demo screen, an oversized abstract logo sculpture above, and a rain-streaked glass wall along the right.",0015_4_high-level-description-a-flat-vector-ill_uPq4sJz9XUyKn_qVLJz1jg_DGSReNpaTHe3SNdU05TMBg.png
16_rechenzentrum-gang.webp,/images/events/16_rechenzentrum-gang.webp,"A flat vector noir illustration of a colocation datacenter aisle at night, with rows of black server racks converging toward an open doorway spilling warm amber light, a lone technician silhouette mid-aisle lit by his tablet's green glow, rendered in deep blacks and slate grey with phosphor-green accents.",0016_3_high-level-description-a-flat-vector-noi_F3Nfmh8JWbiH-RYnRtLzKw_Cp5QUG8qSIa4mKbEtIHkxQ.png
